id_review,caption,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user
ChZDSUhNMG9nS0VJQ0FnSURidjhyRUFnEAE,Great service and wonderful spread of buffet.  The service was fast and they accommodated our team of six at a comfortable table.. The starters kept coming until we couldn't have no more.. a decent spread of main course dishes then followed post which we devoured on the deserts.. The kulfi faluda and those tiny gulabjamuns are a delight and so was the combination of manila icecream and chocolate brownie.. please do visit if you can..,9 hours ago,2024-08-11 17:55:16.402259,5.0,Arclitz,31,https://www.google.com/maps/contrib/115106947454017546928/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURibTRfLWJ3EAE,Nice behaviour of staff with good food and ambience,a day ago,2024-08-11 17:55:16.402259,4.0,Arijit Datta,1,https://www.google.com/maps/contrib/107233546755555609932/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURiNVllZktREAE,The idea of ​​the restaurant is to bring the grills to the table and continue cooking over charcoal. There is also a buffet that includes vegetarian and non-vegetarian food.,3 days ago,2024-08-11 17:55:16.403262,4.0,moon light,379,https://www.google.com/maps/contrib/115162573478755070800/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURiOGJHT2hBRRAB,Nice food,4 days ago,2024-08-11 17:55:16.403262,5.0,Koushik Moldal,0,https://www.google.com/maps/contrib/115752425897194347776/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURiMGFUSHJ3RRAB,,4 days ago,2024-08-11 17:55:16.403262,2.0,Sk Alamgir,0,https://www.google.com/maps/contrib/117915999319054114895/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURiMnRqR0J3EAE,,6 days ago,2024-08-11 17:55:16.404326,5.0,afsheen lakdawala,0,https://www.google.com/maps/contrib/111276240206628607814/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURicklTSnl3RRAB,Very good customer service by Vinod and Jugal.,a week ago,2024-08-11 17:55:16.405427,5.0,mansha mehta,0,https://www.google.com/maps/contrib/108185934628156892129/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURiZ056S29BRRAB,,a week ago,2024-08-11 17:55:16.405427,4.0,Swati Mane,0,https://www.google.com/maps/contrib/110098985574837402631/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNiejh5dTJ3RRAB,Enjoyed as ever value for money excellent service my vote to Mr Vinod,a week ago,2024-08-11 17:55:16.406436,5.0,Mehboob A Ladak,0,https://www.google.com/maps/contrib/115770637817556919826/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNieFk2WUdBEAE,,a week ago,2024-08-11 17:55:16.407438,5.0,Ganesh Sape,33,https://www.google.com/maps/contrib/101610945391613596821/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNieW96ZUZ3EAE,,2 weeks ago,2024-08-11 17:55:20.847076,5.0,sanyogita kshar (dental learning),13,https://www.google.com/maps/contrib/108437730565688184717/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURyM2JDbHNBRRAB,very,3 weeks ago,2024-08-11 17:55:20.847076,3.0,حمد الفليتي,372,https://www.google.com/maps/contrib/118419396175675553061/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURyLXV1OEF3EAE,,3 weeks ago,2024-08-11 17:55:20.848417,5.0,Dipanjan Mitra,30,https://www.google.com/maps/contrib/104920854090874055954/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURyLXFidXFRRRAB,"POOR SERVICE,  BUFFET COUNTER EMPTY, RUDE AND UNPROFESSIONAL STAFF.",3 weeks ago,2024-08-11 17:55:20.849798,1.0,Sahim Gaibee,0,https://www.google.com/maps/contrib/100797158652146015936/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURyc3MyOWVBEAE,,3 weeks ago,2024-08-11 17:55:20.849798,5.0,Subeer Sarkar,13,https://www.google.com/maps/contrib/100426275001189228148/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURyN0piNDJRRRAB,Very expensive,3 weeks ago,2024-08-11 17:55:20.850806,4.0,tosif sayyed,42,https://www.google.com/maps/contrib/106134780846761110973/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURyLUxfZzJBRRAB,The best experience over years. With family & friends. Best part is the well staff .All working staff very good management. In Staff would like to mention  Mr Nirmal who always conduct his best making each & Every customer Feel special. Overall we religiously consider barbeque nation worli is THE BEST,3 weeks ago,2024-08-11 17:55:20.850806,5.0,Narendra Karangutkar,0,https://www.google.com/maps/contrib/117743626443622013037/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURyaU9qbU13EAE,,4 weeks ago,2024-08-11 17:55:20.851815,5.0,Anita Asher,0,https://www.google.com/maps/contrib/116581166467604520866/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURyNEluVFdBEAE,The experience was very horrible went with my family for dinner we were 4 of us had 2 veg and 2non-veg courses For chicken the Barbeque items were not that great Tikka had no good marination also the prawns seemed to be bit old fish was like small pieces tandoori leg was also half cooked overall was not good Coming to veg had not much options to choose from very limited were their that also paneer was sooo spicy and it was all just the masala coated dint feel like was even marinated mushrooms were not even fresh in that aloo was half cooked overall. So veg also same story not a good experience Coming to main course their basic dal tadka and dal makhani was horrible no taste no flavour nothing chicken curry horrific Chicken used in the curry was an old chicken as if it was stored in the fridge for too long or either the vendor gave him the old chicken don’t know was completely rubber I could just see and tell that the chicken was old but still tried and yes it was horribel. Seriously guys don’t waste ur money heir I paid over 6k and got horrible food not worth it They have lost their food quality very badly I will not recommend anyone to go not worth the price what u pay for might aswell go somewhere else.,4 weeks ago,2024-08-11 17:55:20.851815,1.0,Anuja Anil Jadhav,27,https://www.google.com/maps/contrib/100701600437306499271/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURyZ0s3ZFl3EAE,Vinod was excellent and extremely hospitable. Made my entire experience memorable. The entire staff was very courteous and friendly. They were serving with love and joy. The service was from the heart.❤️,4 weeks ago,2024-08-11 17:55:20.851815,5.0,Esha Desai,15,https://www.google.com/maps/contrib/104950051649634133130/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNyMjU2RTRnRRAB,,a month ago,2024-08-11 17:55:25.339990,5.0,mohd Zubair Ansari,0,https://www.google.com/maps/contrib/115507967750606940216/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNyenFydU9REAE,Please don't go to worli...bn...because first they will tell without tax rate ...and after finishing ur food...they will add so much of taxes...and waiting period of...every food serve is..atleast 10 mints...and if ur sit at main entrance table..the staff will forget u...that customer is also sit at that table ..they will not provide u food....properly..so..finally I share my overall experience...please waste ur money...,a month ago,2024-08-11 17:55:25.340992,1.0,Maddy S,0,https://www.google.com/maps/contrib/114802612162589035918/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNycHBTeHdnRRAB,,a month ago,2024-08-11 17:55:25.340992,5.0,Tanmayee Mahadik,0,https://www.google.com/maps/contrib/112760493803014545894/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNyb3NYNHNRRRAB,,a month ago,2024-08-11 17:55:25.340992,5.0,nirmal ram,0,https://www.google.com/maps/contrib/116559283336179186762/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNycUtUN0d3EAE,Excellent service 💯,a month ago,2024-08-11 17:55:25.342499,5.0,Idmc Ruman,0,https://www.google.com/maps/contrib/117421433128748882499/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURMc2NHZ1lREAE,looking place nice and food is very delicious,a month ago,2024-08-11 17:55:25.343514,5.0,Mantesh Magadum,0,https://www.google.com/maps/contrib/114172207104614368543/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURMMGV1X0d3EAE,"one of a kind . Tasty food , Great ambience , courteous staff , would like to visit again",a month ago,2024-08-11 17:55:25.344517,5.0,kiran kumar,19,https://www.google.com/maps/contrib/106558110296322638685/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURMMGF5QXp3RRAB,Very good taste and ambience,a month ago,2024-08-11 17:55:25.344517,5.0,Aarti Pagar,0,https://www.google.com/maps/contrib/105808892972375146610/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURMMk1MZEhnEAE,Sorry,a month ago,2024-08-11 17:55:25.345513,1.0,prahlad moga,13,https://www.google.com/maps/contrib/116623351935161001757/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURMNU5xeWNnEAE,Having a nice experience at first time 😜😜 great deal with staff and atmosphere is also pleasent,a month ago,2024-08-11 17:55:25.346514,4.0,AR CREATIONS,11,https://www.google.com/maps/contrib/109287196180317585550/reviews?hl=en
